City,Latitude,Longitude
Amsterdam,52.37454030000001,4.897975505617977
Bangalore,12.9791198,77.5912997
Berlin,52.5170365,13.3888599
Bordeaux,44.841225,-0.5800364
Boston,42.3602534,-71.0582912
Brasília,-10.3333333,-53.2
Brussels,50.8465573,4.351697
Budapest,47.4983815,19.0404707
Buenos Aires,-34.6075682,-58.4370894
Chicago,41.8755616,-87.6244212
Copenhagen,55.6867243,12.5700724
Cupertino,37.3228934,-122.0322895
Delhi,28.6517178,77.2219388
Dijon,47.3215806,5.0414701
Dublin,53.3497645,-6.2602732
Edinburgh ,55.9533456,-3.1883749
Edmonton,53.535411,-113.507996
Fort Worth,32.753177,-97.3327459
Frankfurt,50.1106444,8.6820917
Halifax,44.648618,-63.5859487
Helsinki,60.1674098,24.9425769
Lisbon,38.7077507,-9.1365919
London,51.5073219,-0.1276474
Lyon,45.7578137,4.8320114
Madison,43.074761,-89.3837613
Madrid,40.4167047,-3.7035825
Montréal,45.4972159,-73.6103642
Mountain View,37.3893889,-122.0832101
New York,40.7127281,-74.0060152
Orlando,28.5421109,-81.3790304
Oslo,59.9133301,10.7389701
Ottawa,45.421106,-75.690308
Paris,48.8566969,2.3514616
Porto,41.1494512,-8.6107884
Prague,50.0874654,14.4212535
Redmond,47.6694141,-122.1238767
Reno,39.5261206,-119.8126581
Rio de Janeiro,-22.9110137,-43.2093727
Rome,41.8933203,12.4829321
Salt Lake City,40.7596198,-111.8867975
Santiago,9.8694792,-83.7980749
Sidney,-33.8548157,151.2164539
Stockholm,59.3251172,18.0710935
Stuttgart,48.7784485,9.1800132
São José dos Campos,-23.1805011,-45.8872969
São Paulo,-23.5506507,-46.6333824
Toronto,43.6534817,-79.3839347
Tucson,32.2228765,-110.9748477
Vancouver,49.2608724,-123.1139529
Vienne,48.2083537,16.3725042
Warsaw,52.2319581,21.0067249
Winnipeg,49.8955367,-97.1384584
Yellowknife,62.4710386,-114.4467513
